Province,2011,2012,2013,2014
Canada,18288463 ,18857175 ,19044557 ,19435211 
Males,8735065 ,9251958 ,9262880 ,9471970 
Females,9553398 ,9605218 ,9781677 ,9963241 
Newfoundland and Labrador,331444 ,335027 ,328776 ,342808 
Males,161026 ,161452 ,155462 ,166379 
Females,170418 ,173575 ,173313 ,176429 
Prince Edward Island,90412 ,90092 ,87513 ,90043 
Males,45709 ,43494 ,42167 ,44469 
Females,44703 ,46598 ,45345 ,45573 
Nova Scotia,562803 ,559364 ,560605 ,580289 
Males,270409 ,259262 ,271156 ,281302 
Females,292394 ,300101 ,289449 ,298987 
New Brunswick,445599 ,440878 ,441579 ,440135 
Males,211300 ,221157 ,206492 ,210328 
Females,234298 ,219722 ,235087 ,229807 
Quebec,3642394 ,3914607 ,3879323 ,3960413 
Males,1749402 ,1929399 ,1912437 ,1927558 
Females,1892991 ,1985207 ,1966887 ,2032855 
Ontario,7344549 ,7583184 ,7612346 ,7736583 
Males,3517584 ,3676921 ,3690854 ,3745169 
Females,3826966 ,3906263 ,3921492 ,3991414 
Manitoba,655802 ,667373 ,687966 ,680007 
Males,309362 ,352743 ,347528 ,332710 
Females,346441 ,314629 ,340438 ,347297 
Saskatchewan,586093 ,604018 ,600310 ,647216 
Males,297848 ,294747 ,294745 ,321326 
Females,288245 ,309271 ,305564 ,325890 
Alberta,1941154 ,2012245 ,2048001 ,2216837 
Males,918498 ,1041548 ,1003467 ,1117155 
Females,1022656 ,970697 ,1044534 ,1099683 
British Columbia,2623914 ,2586201 ,2727214 ,2668204 
Males,1221905 ,1237696 ,1303376 ,1288922 
Females,1402009 ,1348505 ,1423838 ,1379282 
Yukon,23058 ,21909 ,22396 ,22564 
Males,10846 ,10971 ,11097 ,11217 
Females,12212 ,10938 ,11299 ,11347 
Northwest Territories,27575 ,27632 ,26822 ,27749 
Males,14452 ,14946 ,13584 ,13601 
Females,13123 ,12686 ,13238 ,14148 
Nunavut,13667 ,14645 ,21707 ,22362 
Males,6725 ,7621 ,10514 ,11833 
Females,6943 ,7024 ,11193 ,10529 
